MCC	MCC Descripción
5310	TIENDA DE DESCUENTOS
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5399	MERCANCIAS DE USO GENERAL
5411	SUPERMERCADOS, VIVERRES
5499	TIENDA DE ALIMENTOS VARIOS
5611	TIENDA DE ROPAS Y ACCESORIOS PARA HOMBRE
5621	TIENDA DE MODA FEMENINA (TALLES UNICOS)
5641	TIENDA PARA NIÑOS E INFANTES
5651	TIENDA DE ROPAS PARA TODA LA FAMILIA
5655	RIDING APPAREL STORES, SPORTS APPAREL ST
5661	ZAPATERIAS
5691	TIENDAS UNISEX
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5722	TIENDA DE ARTICULOS PARA EL HOGAR
5732	VENTAS DE RADIO, STEREO Y TV
5945	TIENDA DE ENTRETENIMIENTOS Y JUGUETES
5949	ARTICULOS DE COSTURA EN GRAL.
5977	TIENDA DE COSMETICOS
7392	CONSULTING SERVICES, MANAGEMENT SERVICES
5331	TIENDA DE VARIEDADES
7210	SERVICIOS DE LIMPIEZA,LAVANDERIA,PRENDAS
742	SERVICIOS VETERINARIOS
8062	HOSPITALES
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5661	ZAPATERIAS
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS
5941	ARTICULOS PARA DEPORTES
4814	SERVICIOS DE TELECOMUNICACIONES
4214	TRANSPORTES DE CARGAS , LOCALES Y EXTRAN
4215	SERVICIOS DE GUIAS-AEREOS Y TERRESTRES .
7841	ALQUILER DE CINTAS GRABADAS
6300	SEGUROS-VENTAS Y SUBSCRIPCIONES
9311	PAGOS DE IMPUESTOS
5231	TIENDA DE VIDRIOS, PINTURAS Y TAPIZADOS
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT
742	SERVICIOS VETERINARIOS
3247	AEROLINEAS - ATLANTIC AIR
3248	AEROLINEAS - TAM
4131	OMNIBUS, TRANSPORTES DE ALQUILER Y TURIS
4214	TRANSPORTES DE CARGAS , LOCALES Y EXTRAN
4215	SERVICIOS DE GUIAS-AEREOS Y TERRESTRES .
4511	AIRLINES, AIR CARRIERS
4722	AGENCIAS DE VIAJES
4813	KEY-ENTRY TELECOM MERCHANT PROVIDING SIN
4814	SERVICIOS DE TELECOMUNICACIONES
4899	SERVICIOS DE CABLE
5021	COMMERCIAL FURNITURE, FURNITURE,OFFICE A
5045	COMPUTERS, COMPUTER PERIPHERAL EQUIPMENT
5046	COMMERCIAL EQUIPMENT-NOT ELSEWHERE CLASS
5047	DENTAL EQUIPMENT AND SUPPLIES, MEDICAL E
5065	ELECTRICAL PARTS AND EQUIPMENT*
5169	CHEMICALS AND ALLIED PRODUCTS-NOT ELSEWH
5192	LIBROS PERIODICOS SEMANARIOS
5193	FLORISTS SUPPLIES, NURSERY STOCK, AND FL
5199	NONDURABLE GOODS-NOT ELSEWHERE CLASSIFIE
5200	ALMACEN DE REPUESTOS PARA EL HOGAR
5211	TIENDA DE MATERIALES DE CONSTRUCCION Y M
5231	TIENDA DE VIDRIOS, PINTURAS Y TAPIZADOS
5251	FERRETERIAS
5261	ARTICULOS PARA EL JARDIN, CESPED, SEMILL
5262	ONLINE MARKETPLACES
5310	TIENDA DE DESCUENTOS
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5399	MERCANCIAS DE USO GENERAL
5411	SUPERMERCADOS, VIVERRES
5441	CARAMELOS NUECES -CONFITERIAS
5499	TIENDA DE ALIMENTOS VARIOS
5533	ACCESORIOS PARA AUTOMOVILES
5541	ESTACIONES DE SERVICIOS
5621	TIENDA DE MODA FEMENINA (TALLES UNICOS)
5641	TIENDA PARA NIÑOS E INFANTES
5651	TIENDA DE ROPAS PARA TODA LA FAMILIA
5661	ZAPATERIAS
5691	TIENDAS UNISEX
5697	SASTRES, COSTURERAS, ZURCIDOS, ALTERACIO
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5714	TIENDAS DE ESCAPARATES, PAÑOS Y TAPICERI
5719	TIENDAS DE ACCESORIOS VARIOS PARA EL HOG
5722	TIENDA DE ARTICULOS PARA EL HOGAR
5732	VENTAS DE RADIO, STEREO Y TV
5733	TIENDA DE MUSICA, INSTRUMENTOS, PIANOS E
5734	TIENDA DE SOFTWARE PARA COMPUTADORES
5812	RESTAURANTES
5813	BARES EN GRAL (TRAGOS LARGOS CON ALCOHOL
5814	RESTAURANTES DE COMIDA RAPIDA
5921	VENTA DE BEBIDAS - CERVEZA, VINO Y LICOR
5940	VENTAS Y REPARACIONES DE BICICLETAS
5941	ARTICULOS PARA DEPORTES
5942	BOOK STORES
5943	LIBRERIA
5944	JOYERIA, RELOJERIA Y PLATERIA
5945	TIENDA DE ENTRETENIMIENTOS Y JUGUETES
5946	CASA DE REPUESTOS PARA CAMARAS FOTOGRAFI
5947	TIENDA DE REGALOS,TARJETAS,NOVEDADES Y R
5970	ARTICULOS DE ARTESANIA
5973	TIENDA DE ARTICULOS RELIGIOSOS
5977	TIENDA DE COSMETICOS
5992	FLORICULTORES
5996	PISCINAS - VENTAS Y SERVICIOS
5999	TIENDA DE VENTAS AL DETALLE-N/USAR
6300	SEGUROS-VENTAS Y SUBSCRIPCIONES
7011	HOSPEDAJE-HOTELES,MOTELES,PARADOR
7230	SALONES DE BELLEZA Y PELUQUERIAS
7261	SERVICIOS DE FUNERALES Y CREMATORIOS
7278	TIENDA DE COMPRAS , CLUBES
7299	SERVICIOS PERSONALES VARIOS - AUN NO CAL
7311	PUBLICITARIAS
7379	COMPUTER MAINTENANCE, REPAIR, AND SERVIC
7392	CONSULTING SERVICES, MANAGEMENT SERVICES
7395	LABORATORIO FOTOGRAFICO, REVELADOS
7399	SERVICIOS COMERCIALES - AUN NO CLASIFICA
7512	AGENCIAS DE ALQUILER DE AUTOS -AUN NO CL
7523	ESTACIONAMIENTOS
7542	LAVADO DE AUTOS
7841	ALQUILER DE CINTAS GRABADAS
7941	CAMPOS ATLETICOS Y CLUBES DEPORTIVOS
7997	CLUBES-DE DEPORTES, RECREACION, GOLF, PR
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT
8011	DOCTORES, MEDICOS
8021	DENTISTAS
8043	OPTICOS
8062	HOSPITALES
8071	LABORATORIOS MEDICOS Y DENTALES
8099	SERVICIOS MEDICOS (AUN NO CLASIFICADOS)
8220	COLEGIOS, UNIVERSIDADES, ESCUELAS PROFES
8241	ESCUELA POR CORRESPONDENCIA
8299	SERVICIOS EDUCACIONALES (AUN NO CLASIFIC
8931	SERVICIOS DE CONTABILIDAD Y AUDITORIA
8999	SERVICIOS PROFESIONALES (AUN NO CLASIFIC
9311	PAGOS DE IMPUESTOS
4814	SERVICIOS DE TELECOMUNICACIONES
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
4814	SERVICIOS DE TELECOMUNICACIONES
4814	SERVICIOS DE TELECOMUNICACIONES
4899	SERVICIOS DE CABLE
5411	SUPERMERCADOS, VIVERRES
5499	TIENDA DE ALIMENTOS VARIOS
5812	RESTAURANTES
5813	BARES EN GRAL (TRAGOS LARGOS CON ALCOHOL
5921	VENTA DE BEBIDAS - CERVEZA, VINO Y LICOR
5999	TIENDA DE VENTAS AL DETALLE-N/USAR
4121	TAXI - LIMOSINAS
7512	AGENCIAS DE ALQUILER DE AUTOS -AUN NO CL
4814	SERVICIOS DE TELECOMUNICACIONES
4900	SERVICIOS PUBLICOS - GAS, SALUBRIDAD, AG
8021	DENTISTAS
5192	LIBROS PERIODICOS SEMANARIOS
5943	LIBRERIA
5994	PUESTOS DE VENTAS DE PERIODICOS
7997	CLUBES-DE DEPORTES, RECREACION, GOLF, PR
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT
7392	CONSULTING SERVICES, MANAGEMENT SERVICES
8931	SERVICIOS DE CONTABILIDAD Y AUDITORIA
8999	SERVICIOS PROFESIONALES (AUN NO CLASIFIC
8111	ESCUELAS, PRIMARIAS Y SECUNDARIAS
8999	SERVICIOS PROFESIONALES (AUN NO CLASIFIC
5733	TIENDA DE MUSICA, INSTRUMENTOS, PIANOS E
7841	ALQUILER DE CINTAS GRABADAS
7394	ALQUILERES Y ARRENDAMIENTOS DE EQUIPOS
5511	CONCESIONARIA-AUTOS Y CAMIONES (NUEVOS Y
7299	SERVICIOS PERSONALES VARIOS - AUN NO CAL
742	SERVICIOS VETERINARIOS
763	COOPERATIVA AGRICOLA
1711	TECNICO EN REFRIGERACION
1750	CARPINTERIA
2842	SANITATION, POLISHING, AND SPECIALTY CLE
4215	SERVICIOS DE GUIAS-AEREOS Y TERRESTRES .
4468	MARINA, MARINE SEEVICES AND SUPPLIES
4582	AIRPORTS, FLYING FIELDS, AIRPORT TERMINA
4789	SERVICIOS DE TRANSPORTES - AUN NO CLASIF
4814	SERVICIOS DE TELECOMUNICACIONES
5039	CONSTRUCTION MATERIALS-NOT ELSEWHERE CLA
5046	COMMERCIAL EQUIPMENT-NOT ELSEWHERE CLASS
5065	ELECTRICAL PARTS AND EQUIPMENT*
5072	HARDWARE EQUIPMENT AND SUPPLIES*
5111	OFFICE SUPPLIES, PRINTING AND WRITING PA
5192	LIBROS PERIODICOS SEMANARIOS
5200	ALMACEN DE REPUESTOS PARA EL HOGAR
5211	TIENDA DE MATERIALES DE CONSTRUCCION Y M
5231	TIENDA DE VIDRIOS, PINTURAS Y TAPIZADOS
5251	FERRETERIAS
5261	ARTICULOS PARA EL JARDIN, CESPED, SEMILL
5310	TIENDA DE DESCUENTOS
5311	GRANDES TIENDAS
5331	TIENDA DE VARIEDADES
5399	MERCANCIAS DE USO GENERAL
5411	SUPERMERCADOS, VIVERRES
5499	TIENDA DE ALIMENTOS VARIOS
5511	CONCESIONARIA-AUTOS Y CAMIONES (NUEVOS Y
5532	NEUMATICOS
5533	ACCESORIOS PARA AUTOMOVILES
5655	RIDING APPAREL STORES, SPORTS APPAREL ST
5661	ZAPATERIAS
5691	TIENDAS UNISEX
5699	TIENDA DE ADORNOS Y ACCESORIOS VARIOS
5712	TIENDA DE MUEBLES Y EQUIPOS PARA AL HOGA
5713	TIENDAS DE ALFOMBRADOS
5719	TIENDAS DE ACCESORIOS VARIOS PARA EL HOG
5722	TIENDA DE ARTICULOS PARA EL HOGAR
5732	VENTAS DE RADIO, STEREO Y TV
5733	TIENDA DE MUSICA, INSTRUMENTOS, PIANOS E
5734	TIENDA DE SOFTWARE PARA COMPUTADORES
5812	RESTAURANTES
5921	VENTA DE BEBIDAS - CERVEZA, VINO Y LICOR
5941	ARTICULOS PARA DEPORTES
5943	LIBRERIA
5944	JOYERIA, RELOJERIA Y PLATERIA
5945	TIENDA DE ENTRETENIMIENTOS Y JUGUETES
5947	TIENDA DE REGALOS,TARJETAS,NOVEDADES Y R
5948	ARTICULOS DE CUERO Y EQUIPAJES
5970	ARTICULOS DE ARTESANIA
5971	ARTISTAS Y GALERIAS DE ARTES
5976	ARTICULOS ORTOPEDICOS - MIEMBROS ARTIFIC
5983	GASOLINERAS-ACEITE COMBUSTIBLE,PETROLEO
5993	CIGARRILLOS-TABACOS-N/USAR P/ TX WEB
5996	PISCINAS - VENTAS Y SERVICIOS
5999	TIENDA DE VENTAS AL DETALLE-N/USAR
7011	HOSPEDAJE-HOTELES,MOTELES,PARADOR
7211	LAVANDERIAS-PRIVADAS Y PUBLICAS
7278	TIENDA DE COMPRAS , CLUBES
7298	SPA DE SALUD Y BELLEZA
7299	SERVICIOS PERSONALES VARIOS - AUN NO CAL
7342	SERVICIOS DE EXTERMINACION Y DESINFECCIO
7379	COMPUTER MAINTENANCE, REPAIR, AND SERVIC
7392	CONSULTING SERVICES, MANAGEMENT SERVICES
7393	AGENCIAS DE DETECTIVES Y SERVICIOS DE PR
7394	ALQUILERES Y ARRENDAMIENTOS DE EQUIPOS
7399	SERVICIOS COMERCIALES - AUN NO CLASIFICA
7523	ESTACIONAMIENTOS
7538	REPARACION DE AUTOMOVILES (NO COMERCIAL)
7623	REPARACION DE AIRE ACONDICIONADO
7841	ALQUILER DE CINTAS GRABADAS
7923	ORQUESTAS, BANDAS, CANTANTES
7997	CLUBES-DE DEPORTES, RECREACION, GOLF, PR
7999	SERVICIOS DE RECREACION Y ENTRETENIMIENT
8011	DOCTORES, MEDICOS
8021	DENTISTAS
8043	OPTICOS
8099	SERVICIOS MEDICOS (AUN NO CLASIFICADOS)
8220	COLEGIOS, UNIVERSIDADES, ESCUELAS PROFES
8299	SERVICIOS EDUCACIONALES (AUN NO CLASIFIC
8999	SERVICIOS PROFESIONALES (AUN NO CLASIFIC
9311	PAGOS DE IMPUESTOS
7997	CLUBES-DE DEPORTES, RECREACION, GOLF, PR
